"Transaction_ID,Date,Region,Product_Category,Sales_Amount,Units_Sold,Profit"
"TX1001,2025-01-15,North,Electronics,1200.50,4,300.00"
"TX1002,2025-01-18,South,Furniture,850.00,2,150.00"
"TX1003,2025-02-02,East,Electronics,2100.00,7,550.00"
"TX1004,2025-02-10,West,Clothing,450.00,10,120.00"
"TX1005,2025-02-14,North,Furniture,1300.00,3,250.00"
"TX1006,2025-03-01,South,Electronics,3100.00,9,800.00"
"TX1007,2025-03-05,West,Furniture,920.00,4,180.00"
"TX1008,2025-03-12,East,Clothing,650.00,12,200.00"
"TX1009,2025-03-20,North,Electronics,1800.00,5,450.00"
"TX1010,2025-03-22,South,Clothing,500.00,8,110.00"
